Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,biotype,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_97_pct_filter,rna_98_pct_filter,rna_99_pct_filter,passes_filters,rna_max_ntpm,never_expressed,rna_testis_ntpm,rna_ovary_ntpm,rna_placenta_ntpm,rna_max_somatic_tissue,rna_max_somatic_ntpm,rna_somatic_detected_count,rna_brain_max_ntpm,rna_heart_max_ntpm,rna_lung_max_ntpm,rna_liver_max_ntpm,rna_pancreas_max_ntpm,protein_restriction,protein_testis,protein_ovary,protein_placenta,rna_restriction,rna_restriction_level,restriction,restriction_confidence,safety_flags,coding_gate_pass,has_protein_evidence,protein_gate_pass,required_rna_fraction,rna_measured,rna_gate_pass,hpa_gate_recomputed,hpa_gate_recorded,family_eligible,default_panel,gate_reasons
VGLL1,,,,ENSG00000102243,Bradley2020_CPA;Gong2021_placenta_PC,True,False,Supported,False,False,placenta,0.775,0.7758,0.828,0.828,,protein_coding,True,False,False,False,False,False,False,196.9,False,0.1,0.0,196.9,urinary bladder,21.9,8,0.0,0.1,2.1,0.1,1.4,PLACENTAL,False,False,True,SOMATIC,PERMISSIVE,PLACENTAL,LOW,,True,True,True,0.9,True,False,False,False,True,False,RNA_fraction_below_protein_tier_threshold
PLAC1,CT92;OOSP2B;OOSP2L,,cancer-testis antigen,ENSG00000170965,Bradley2020_CPA;CTpedia;Gong2021_placenta_PC,True,False,Enhanced,True,False,placenta,0.9691,0.9691,1.0,1.0,ENST00000359237,protein_coding,True,True,True,True,True,True,True,27.0,False,0.9,0.3,27.0,skin,0.2,0,0.0,0.0,0.0,0.0,0.0,PLACENTAL,False,False,True,PLACENTAL,STRICT,PLACENTAL,HIGH,,True,True,True,0.8,True,True,True,True,True,True,retained
CGB3,,,cancer-germline antigen,ENSG00000104827,Bradley2020_CPA;Gong2021_placenta_PC;placental_antigen,True,False,Enhanced,False,False,placenta; testis,0.6533,0.6533,0.7944,0.7944,ENST00000357383,protein_coding,False,False,False,False,False,False,False,9.5,False,0.3,0.0,9.5,pancreas,2.2,2,0.0,0.0,0.0,0.0,2.2,REPRODUCTIVE,True,False,True,SOMATIC,LEAKY,REPRODUCTIVE,LOW,,True,True,True,0.8,True,False,False,False,True,False,RNA_fraction_below_protein_tier_threshold
CGB5,,,cancer-germline antigen,ENSG00000189052,Bradley2020_CPA;Gong2021_placenta_PC;placental_antigen,True,False,Supported,False,False,placenta; testis,0.6702,0.6702,0.7422,0.7422,ENST00000301408,protein_coding,False,False,False,False,False,False,False,24.9,False,0.5,0.0,24.9,pituitary gland,8.4,2,0.0,0.0,0.1,0.0,1.9,REPRODUCTIVE,True,False,True,SOMATIC,LEAKY,REPRODUCTIVE,LOW,,True,True,True,0.9,True,False,False,False,True,False,RNA_fraction_below_protein_tier_threshold
IGF2BP3,,,,ENSG00000136231,Bradley2020_CPA,False,False,Enhanced,False,True,adrenal gland; appendix; bronchus; cerebellum; colon; fallopian tube; kidney; lymph node; placenta; rectum; salivary gland; tonsil; urinary bladder,0.5933,0.6199,0.7428,0.7548,,protein_coding,False,False,False,False,False,False,False,27.9,False,5.0,0.5,27.9,tonsil,7.1,3,0.7,0.0,0.5,0.5,0.6,SOMATIC,False,False,True,SOMATIC,LEAKY,SOMATIC,HIGH,,True,True,False,0.8,True,False,False,False,True,False,IHC_outside_allowed_reproductive_tissues;RNA_fraction_below_protein_tier_threshold
DEPDC1B,,,,ENSG00000035499,Bradley2020_CPA,False,False,Approved,False,True,appendix; bone marrow; breast; bronchus; caudate; cerebral cortex; colon; duodenum; endometrium 1; esophagus; fallopian tube; gallbladder; kidney; lung; lymph node; nasopharynx; pancreas; prostate; rectum; small intestine; smooth muscle; spleen; testis; thyroid gland; tonsil; urinary bladder,0.1469,0.2931,0.1624,0.3395,,protein_coding,False,False,False,False,False,False,False,20.3,False,12.3,0.7,7.3,gallbladder,20.3,17,1.6,0.1,0.3,0.3,0.1,SOMATIC,True,False,False,SOMATIC,LEAKY,SOMATIC,MODERATE,,True,True,False,0.95,True,False,False,False,True,False,IHC_outside_allowed_reproductive_tissues;RNA_fraction_below_protein_tier_threshold
ADAM12,,,,ENSG00000148848,Bradley2020_CPA;Gong2021_placenta_PC,True,False,Enhanced,False,True,placenta; testis,0.6328,0.6392,0.7208,0.7229,,protein_coding,False,False,False,False,False,False,False,130.4,False,0.7,6.6,130.4,gallbladder,9.0,12,2.0,0.6,1.0,0.2,0.5,REPRODUCTIVE,True,False,True,SOMATIC,LEAKY,REPRODUCTIVE,LOW,,True,True,True,0.8,True,False,False,False,True,False,RNA_fraction_below_protein_tier_threshold
SLC38A9,,,,ENSG00000177058,Bradley2020_CPA,False,False,Uncertain,False,True,adrenal gland; appendix; breast; bronchus; caudate; colon; duodenum; esophagus; liver; nasopharynx; pancreas; rectum; skin 1; skin 2; small intestine; testis,0.1997,0.221,0.2195,0.241,,protein_coding,False,False,False,False,False,False,False,55.8,False,18.7,6.0,55.8,liver,16.1,38,9.6,3.7,7.7,16.1,11.8,SOMATIC,True,False,False,SOMATIC,LEAKY,SOMATIC,MODERATE,brain;lung;liver;pancreas,True,True,False,0.97,True,False,False,False,True,False,IHC_outside_allowed_reproductive_tissues;RNA_fraction_below_protein_tier_threshold
CAPN6,,,,ENSG00000077274,Bradley2020_CPA;Gong2021_placenta_PC,no data,no data,no data,False,True,no data,0.1621,0.1654,0.1671,0.1687,,protein_coding,False,False,False,False,False,False,False,207.7,False,1.9,6.2,80.4,salivary gland,13.7,20,0.0,0.3,0.5,0.3,7.2,NO_DATA,,,,SOMATIC,LEAKY,SOMATIC,MODERATE,pancreas,True,False,True,0.97,True,False,False,False,True,False,RNA_fraction_below_protein_tier_threshold
MMP11,,,,ENSG00000099953,Bradley2020_CPA;Gong2021_placenta_PC,False,False,Approved,False,True,adipose tissue; adrenal gland; bronchus; cervix; endometrium 1; endometrium 2; fallopian tube; heart muscle; kidney; nasopharynx; parathyroid gland; placenta; salivary gland; small intestine; stomach 1; stomach 2,0.1655,0.1739,0.1768,0.1833,,protein_coding,False,False,False,False,False,False,False,138.5,False,6.5,15.8,38.3,smooth muscle,9.1,22,0.9,7.0,1.4,0.6,1.2,SOMATIC,False,False,True,SOMATIC,LEAKY,SOMATIC,MODERATE,heart,True,True,False,0.95,True,False,False,False,True,False,IHC_outside_allowed_reproductive_tissues;RNA_fraction_below_protein_tier_threshold
