Symbol,Ensembl_Gene_ID,specificity_status,specificity_action,source_anchor,normal_tissue_signal,pmids,rationale
CTAG2,ENSG00000126890,excluded_somatic_leak,exclude_default_keep_clinical,oncoref:cancer-testis-antigens/source_databases=daSilva2017_protein;CTexploreR_CT,heart muscle 5.1 nTPM; 4 somatic tissues detected,,LAGE-1 / NY-ESO family target with source-database CTA evidence; excluded from the strict default because HPA RNA has a low-level heart signal.
MAGEA11,ENSG00000185247,excluded_trace_somatic_signal,exclude_default_keep_clinical,oncoref:cancer-testis-antigens/source_databases=CTpedia;CTexploreR_CT;daSilva2017,choroid plexus 0.1 nTPM,,MAGE-A family target with trace non-reproductive HPA RNA; keep clinical discoverability but do not silently promote into the default strict CTA set.
CT45A1,ENSG00000268940,excluded_somatic_leak,exclude_default_keep_clinical,oncoref:cancer-testis-antigens/source_databases=daSilva2017_protein;CTexploreR_CT,basal ganglia 0.8 nTPM,,CT45A family target with HPA basal-ganglia RNA/protein signal; keep explicit clinical tier while excluding from strict defaults.
CT45A3,ENSG00000269096,excluded_somatic_leak,exclude_default_keep_clinical,oncoref:cancer-testis-antigens/source_databases=daSilva2017_protein;CTexploreR_CT,hippocampal formation 2.3 nTPM; 7 somatic tissues detected,,CT45A family target with hippocampal RNA/protein signal; keep explicit clinical tier while excluding from strict defaults.
CT45A5,ENSG00000228836,excluded_somatic_leak,exclude_default_keep_clinical,oncoref:cancer-testis-antigens/source_databases=paralog:CT45A1,basal ganglia 4.8 nTPM; 4 somatic tissues detected,,CT45A paralog target with basal-ganglia RNA signal; keep explicit clinical tier while excluding from strict defaults.
MAGEC3,ENSG00000165509,candidate_weak_specificity,candidate_only,oncoref:cta-candidate-references,spinal cord 3.6 nTPM,PMID:10861452,MAGE-C family candidate with literature CTA support but CNS HPA signal; candidate-only until specificity is stronger.
PAGE4,ENSG00000101951,candidate_weak_specificity,candidate_only,oncoref:cta-candidate-references,prostate 166.6 nTPM,PMID:21357425;PMID:27270343,PAGE family cancer-associated candidate; prostate expression makes it inappropriate for strict tumor/testis default helpers.
CSAG1,ENSG00000198930,candidate_pending_hpa_audit,candidate_only,PMID:12039054,HPA restriction audit pending,PMID:12039054,CSAG/CSAGE cancer-testis antigen reported in chondrosarcoma; keep candidate-only until HPA specificity evidence is curated.
SPAG4,ENSG00000061656,candidate_weak_specificity,candidate_only,PMID:14614621;PMID:23602831;https://v23.proteinatlas.org/ENSG00000061656-SPAG4,pancreas 87.3 nTPM; testis 31.1 nTPM (HPA v23),PMID:14614621;PMID:23602831,SPAG4/SUN4 (CT127) remains discoverable as a literature candidate; human normal-pancreas expression excludes strict testis restriction. Mouse spermatid evidence does not override the human tissue caveat; no default or clinical-target promotion.
TRIM64,ENSG00000204450,candidate_unverified_nomination,candidate_only,https://github.com/pirl-unc/oncoref/issues/560;https://github.com/openvax/gene-lists/commit/736a19ee3342431638e85c4d7d3ec9353b8c07ca;PMID:36229750;PMID:22209328;PMID:22144910;https://doi.org/10.1002/eji.202350637,HPA v23 placenta 1.2 nTPM and placenta-only IHC (Approved); published patient PBMC RNA raises an immune-cell concern,PMID:36229750;PMID:22209328;PMID:22144910,Historical hard-coded nomination with unverified CTpedia provenance. THP-1-derived macrophage RNA/protein/function and DUX4-induced myoblast expression do not establish clinical tumor or reproductive specificity. Han 2011 S2 marks an existing GenBank TRIM64 transcript rather than a direct testis RT-PCR detection. Preserve the raw HPA pass and bibliography but exclude from default CTA selection; no clinical or warning-tier promotion.
