cancer_code,subtype,symbol,role,agent,pmid,pubmed_title,publication_year,supports_gene_or_agent,supports_disease_context,supports_role_and_phase,reviewed_on
PRAD,,AR,biomarker,,PMID:22894553,Increased survival with enzalutamide in prostate cancer after chemotherapy.,2012,true,true,true,2026-07-17
PRAD,,KLK3,biomarker,,PMID:25153393,"Analysis of androgen and anti-androgen regulation of KLK-related peptidase 2, 3, and 4 alternative transcripts in prostate cancer.",2014,true,true,true,2026-07-17
PRAD,,KLK2,biomarker,,PMID:25153393,"Analysis of androgen and anti-androgen regulation of KLK-related peptidase 2, 3, and 4 alternative transcripts in prostate cancer.",2014,true,true,true,2026-07-17
PRAD,,NKX3-1,biomarker,,PMID:35265947,"Expression of NKX3.1, Prostatic Specific Antigen and Prostatic Specific Alkaline Phosphatase in Cytology Specimens of Metastatic Prostatic Carcinoma.",2021,true,true,true,2026-07-17
PRAD,,HOXB13,biomarker,,PMID:33916521,"Hereditary Prostate Cancer: Genes Related, Target Therapy and Prevention.",2021,true,true,true,2026-07-17
PRAD,,TMPRSS2,biomarker,,PMID:16254181,Recurrent fusion of TMPRSS2 and ETS transcription factor genes in prostate cancer.,2005,true,true,true,2026-07-17
PRAD,,ENO2,biomarker,,PMID:34784097,Neuroendocrine cells in prostate cancer correlate with poor outcomes: a systematic review and meta-analysis.,2022,true,true,true,2026-07-17
PRAD,,CHGA,biomarker,,PMID:41608640,GSTA1 deficiency drives neuroendocrine differentiation via TNFRSF13B/c-FOS/CHGA axis in prostate cancer.,2026,true,true,true,2026-07-17
PRAD,,SYP,biomarker,,PMID:31953400,MUC1-C regulates lineage plasticity driving progression to neuroendocrine prostate cancer.,2020,true,true,true,2026-07-17
PRAD,,ASCL1,biomarker,,PMID:39264686,Neuroendocrine Differentiation in Prostate Cancer Requires ASCL1.,2024,true,true,true,2026-07-17
PRAD,,INSM1,biomarker,,PMID:34431104,Reciprocal YAP1 loss and INSM1 expression in neuroendocrine prostate cancer.,2021,true,true,true,2026-07-17
PRAD,,FOLH1,target,177Lu-PSMA-617,PMID:34161051,Lutetium-177-PSMA-617 for Metastatic Castration-Resistant Prostate Cancer.,2021,true,true,true,2026-07-17
PRAD,,FOLH1,target,225Ac-PSMA-617,PMID:27390158,225Ac-PSMA-617 for PSMA-Targeted α-Radiation Therapy of Metastatic Castration-Resistant Prostate Cancer.,2016,true,true,true,2026-07-17
PRAD,,STEAP1,target,AMG-509 (xaluritamig),PMID:37861461,"Xaluritamig, a STEAP1 × CD3 XmAb 2+1 Immune Therapy for Metastatic Castration-Resistant Prostate Cancer: Results from Dose Exploration in a First-in-Human Study.",2024,true,true,true,2026-07-17
PRAD,,STEAP2,target,AZD0754,PMID:37966111,"Antitumor activity of AZD0754, a dnTGFβRII-armored, STEAP2-targeted CAR-T cell therapy, in prostate cancer.",2023,true,true,true,2026-07-17
PRAD,,DLL3,target,tarlatamab,PMID:40689871,Safety and Efficacy of Tarlatamab in Patients with Neuroendocrine Prostate Cancer: Results from the Phase 1b DeLLpro-300 Study.,2025,true,true,true,2026-07-17
PRAD,,KLK2,target,pasritamig,PMID:40450573,"Pasritamig, a First-in-Class, Bispecific T-Cell Engager Targeting Human Kallikrein 2, in Metastatic Castration-Resistant Prostate Cancer: A Phase I Study.",2025,true,true,true,2026-07-17
PRAD,,TACSTD2,target,sacituzumab govitecan,PMID:38895886,Preclinical evidence for the use of anti-Trop-2 antibody-drug conjugate Sacituzumab govitecan in cerebral metastasized castration-resistant prostate cancer.,2024,true,true,true,2026-07-17
PRAD,,AR,target,enzalutamide,PMID:22894553,Increased survival with enzalutamide in prostate cancer after chemotherapy.,2012,true,true,true,2026-07-17
PRAD,,AR,target,apalutamide,PMID:29420164,Apalutamide Treatment and Metastasis-free Survival in Prostate Cancer.,2018,true,true,true,2026-07-17
PRAD,,PSCA,biomarker,,PMID:15342669,Prostate stem cell antigen (PSCA) expression in human prostate cancer tissues: implications for prostate carcinogenesis and progression of prostate cancer.,2004,true,true,true,2026-07-17
PRAD,,PSCA,target,BPX-601,PMID:39737899,PSCA-targeted BPX-601 CAR T cells with pharmacological activation by rimiducid in metastatic pancreatic and prostate cancer: a phase 1 dose escalation trial.,2024,true,true,true,2026-07-17
PRAD,,PSCA,target,PSMA-PSCA bispecific,PMID:34675084,Novel Redirected T-Cell Immunotherapies for Advanced Prostate Cancer.,2022,true,true,true,2026-07-17
PRAD,,CD276,biomarker,,PMID:37380802,Effect of tumor CD276 expression on infiltrating immune cells and clinicopathological features of prostate cancer.,2024,true,true,true,2026-07-17
PRAD,,CD276,target,enoblituzumab,PMID:37012549,"Neoadjuvant enoblituzumab in localized prostate cancer: a single-arm, phase 2 trial.",2023,true,true,true,2026-07-17
PRAD,,CEACAM5,biomarker,,PMID:38760413,"Assessment of TROP2, CEACAM5 and DLL3 in metastatic prostate cancer: Expression landscape and molecular correlates.",2024,true,true,true,2026-07-17
PRAD,,CEACAM5,target,labetuzumab govitecan,PMID:33199493,Regulation of CEACAM5 and Therapeutic Efficacy of an Anti-CEACAM5-SN38 Antibody-drug Conjugate in Neuroendocrine Prostate Cancer.,2021,true,true,true,2026-07-17
PRAD,,FAP,biomarker,,PMID:36874403,Stromal FAP Expression is Associated with MRI Visibility and Patient Survival in Prostate Cancer.,2022,true,true,true,2026-07-17
BRCA,,ESR1,biomarker,,PMID:34392831,ESR1 mutation as an emerging clinical biomarker in metastatic hormone receptor-positive breast cancer.,2021,true,true,true,2026-07-17
BRCA,,PGR,biomarker,,PMID:26493064,"Predictive value and clinical utility of centrally assessed ER, PgR, and Ki-67 to select adjuvant endocrine therapy for premenopausal women with hormone receptor-positive, HER2-negative early breast cancer: TEXT and SOFT trials.",2015,true,true,true,2026-07-17
BRCA,,ERBB2,biomarker,,PMID:11248153,Use of chemotherapy plus a monoclonal antibody against HER2 for metastatic breast cancer that overexpresses HER2.,2001,true,true,true,2026-07-17
BRCA,,MKI67,biomarker,,PMID:34371382,"ESR1, PGR, ERBB2, and MKi67 mRNA expression in postmenopausal women with hormone receptor-positive early breast cancer: results from ABCSG Trial 6.",2021,true,true,true,2026-07-17
BRCA,,GATA3,biomarker,,PMID:26637396,GATA3 in Breast Cancer: Tumor Suppressor or Oncogene?,2015,true,true,true,2026-07-17
BRCA,,FOXA1,biomarker,,PMID:32888433,FOXA1 Mutations Reveal Distinct Chromatin Profiles and Influence Therapeutic Response in Breast Cancer.,2020,true,true,true,2026-07-17
BRCA,,BRCA1,biomarker,,PMID:19553641,Inhibition of poly(ADP-ribose) polymerase in tumors from BRCA mutation carriers.,2009,true,true,true,2026-07-17
BRCA,,BRCA2,biomarker,,PMID:19553641,Inhibition of poly(ADP-ribose) polymerase in tumors from BRCA mutation carriers.,2009,true,true,true,2026-07-17
BRCA,,ERBB2,target,trastuzumab,PMID:11248153,Use of chemotherapy plus a monoclonal antibody against HER2 for metastatic breast cancer that overexpresses HER2.,2001,true,true,true,2026-07-17
BRCA,,ERBB2,target,trastuzumab deruxtecan,PMID:35665782,Trastuzumab Deruxtecan in Previously Treated HER2-Low Advanced Breast Cancer.,2022,true,true,true,2026-07-17
BRCA,,ERBB2,target,pertuzumab,PMID:22149875,Pertuzumab plus trastuzumab plus docetaxel for metastatic breast cancer.,2012,true,true,true,2026-07-17
BRCA,,TACSTD2,target,sacituzumab govitecan,PMID:33882206,Sacituzumab Govitecan in Metastatic Triple-Negative Breast Cancer.,2021,true,true,true,2026-07-17
BRCA,,FOLR1,target,mirvetuximab soravtansine,PMID:32984932,A phase II study of Mirvetuximab Soravtansine in triple-negative breast cancer.,2021,true,true,true,2026-07-17
