source_tag,stage,remaining,dropped
Gong2021_placenta_PC,published,71,0
Gong2021_placenta_PC,mapped,70,1
Gong2021_placenta_PC,protein_coding,69,1
Gong2021_placenta_PC,family_eligible,68,1
Gong2021_placenta_PC,hpa_restriction,31,37
Gong2021_placenta_PC,default_panel,26,5
Gong2021_placenta_ncRNA,published,74,0
Gong2021_placenta_ncRNA,mapped,65,9
Gong2021_placenta_ncRNA,protein_coding,1,64
Gong2021_placenta_ncRNA,family_eligible,1,0
Gong2021_placenta_ncRNA,hpa_restriction,1,0
Gong2021_placenta_ncRNA,default_panel,1,0
Bradley2020_CPA,published,10,0
Bradley2020_CPA,mapped,10,0
Bradley2020_CPA,protein_coding,10,0
Bradley2020_CPA,family_eligible,10,0
Bradley2020_CPA,hpa_restriction,1,9
Bradley2020_CPA,default_panel,1,0
Wang2016_CT,published,1019,0
Wang2016_CT,mapped,1018,1
Wang2016_CT,protein_coding,994,24
Wang2016_CT,family_eligible,987,7
Wang2016_CT,hpa_restriction,449,538
Wang2016_CT,default_panel,408,41
Bruggeman2018_GC,published,756,0
Bruggeman2018_GC,mapped,734,22
Bruggeman2018_GC,protein_coding,692,42
Bruggeman2018_GC,family_eligible,692,0
Bruggeman2018_GC,hpa_restriction,42,650
Bruggeman2018_GC,default_panel,40,2
daSilva2017_testis_biased,published,1103,0
daSilva2017_testis_biased,mapped,1100,3
daSilva2017_testis_biased,protein_coding,1066,34
daSilva2017_testis_biased,family_eligible,1055,11
daSilva2017_testis_biased,hpa_restriction,724,331
daSilva2017_testis_biased,default_panel,515,209
daSilva2017_CT,published,745,0
daSilva2017_CT,mapped,743,2
daSilva2017_CT,protein_coding,726,17
daSilva2017_CT,family_eligible,717,9
daSilva2017_CT,hpa_restriction,464,253
daSilva2017_CT,default_panel,375,89
Jamin2021_CT,published,607,0
Jamin2021_CT,mapped,497,110
Jamin2021_CT,protein_coding,480,17
Jamin2021_CT,family_eligible,480,0
Jamin2021_CT,hpa_restriction,56,424
Jamin2021_CT,default_panel,55,1
Jamin2021_core,published,125,0
Jamin2021_core,mapped,125,0
Jamin2021_core,protein_coding,125,0
Jamin2021_core,family_eligible,125,0
Jamin2021_core,hpa_restriction,45,80
Jamin2021_core,default_panel,45,0
Chang2019_TGCT,published,1036,0
Chang2019_TGCT,mapped,1031,5
Chang2019_TGCT,protein_coding,986,45
Chang2019_TGCT,family_eligible,979,7
Chang2019_TGCT,hpa_restriction,453,526
Chang2019_TGCT,default_panel,449,4
Carter2023_CT,published,103,0
Carter2023_CT,mapped,103,0
Carter2023_CT,protein_coding,103,0
Carter2023_CT,family_eligible,102,1
Carter2023_CT,hpa_restriction,86,16
Carter2023_CT,default_panel,86,0
Seager2024_CTA,published,17,0
Seager2024_CTA,mapped,15,2
Seager2024_CTA,protein_coding,15,0
Seager2024_CTA,family_eligible,15,0
Seager2024_CTA,hpa_restriction,13,2
Seager2024_CTA,default_panel,13,0
