reference,title,citation_identity_status,source_url,used_by,reviewed_on
DOI:10.1002/cncr.34657,Efficacy and safety of pembrolizumab monotherapy in patients with advanced thyroid cancer in the phase 2 KEYNOTE-158 study.,identifier_resolved_only,https://doi.org/10.1002/cncr.34657,baseline:cancer-apd1-response:THCA;baseline:cancer-ici-response-estimates:THCA;baseline:cancer-ici-response:THCA;current:cancer-apd1-response:THCA;current:cancer-ici-response-estimates:THCA;current:cancer-ici-response:THCA,2026-09-15
DOI:10.1016/j.annonc.2023.10.123,Final analysis of phase II results with cemiplimab in metastatic basal cell carcinoma after hedgehog pathway inhibitors.,identifier_resolved_only,https://doi.org/10.1016/j.annonc.2023.10.123,baseline:cancer-ici-response-estimates:BCC;current:cancer-ici-response-estimates:BCC,2026-09-15
DOI:10.1016/j.cell.2017.10.014,Comprehensive and Integrated Genomic Characterization of Adult Soft Tissue Sarcomas.,identifier_resolved_only,https://doi.org/10.1016/j.cell.2017.10.014,baseline:cancer-tmb:SARC;baseline:cancer-tmb:SARC_DDLPS;baseline:cancer-tmb:SARC_LMS;baseline:cancer-tmb:SARC_LPS_UNSPEC;baseline:cancer-tmb:SARC_MYXFIB;baseline:cancer-tmb:SARC_SYN;baseline:cancer-tmb:SARC_UPS;current:cancer-tmb:SARC;current:cancer-tmb:SARC_DDLPS;current:cancer-tmb:SARC_LMS;current:cancer-tmb:SARC_LPS_UNSPEC;current:cancer-tmb:SARC_MYXFIB;current:cancer-tmb:SARC_SYN;current:cancer-tmb:SARC_UPS,2026-09-15
DOI:10.1016/j.celrep.2024.113826,The genomic and evolutionary landscapes of anaplastic thyroid carcinoma.,identifier_resolved_only,https://doi.org/10.1016/j.celrep.2024.113826,baseline:cancer-tmb:ATC;current:cancer-tmb:ATC,2026-09-15
DOI:10.1016/j.ejca.2018.11.015,"Durvalumab for recurrent or metastatic head and neck squamous cell carcinoma: Results from a single-arm, phase II study in patients with ≥25% tumour cell PD-L1 expression who have progressed on platinum-based chemotherapy.",identifier_resolved_only,https://doi.org/10.1016/j.ejca.2018.11.015,baseline:cancer-ici-response-estimates:HNSC;baseline:cancer-ici-response:HNSC;current:cancer-ici-response-estimates:HNSC;current:cancer-ici-response:HNSC,2026-09-15
DOI:10.1038/s41416-020-0775-0,"Pembrolizumab monotherapy in patients with previously treated metastatic high-grade neuroendocrine neoplasms: joint analysis of two prospective, non-randomised trials.",identifier_resolved_only,https://doi.org/10.1038/s41416-020-0775-0,baseline:cancer-apd1-response:NEN_EXTRAPULMONARY_HG;baseline:cancer-ici-response-estimates:NEN_EXTRAPULMONARY_HG;baseline:cancer-ici-response:NEN_EXTRAPULMONARY_HG;current:cancer-apd1-response:NEN_EXTRAPULMONARY_HG;current:cancer-ici-response-estimates:NEN_EXTRAPULMONARY_HG;current:cancer-ici-response:NEN_EXTRAPULMONARY_HG,2026-09-15
DOI:10.1038/s41591-023-02518-x,Nivolumab plus ipilimumab in advanced salivary gland cancer: a phase 2 trial.,identifier_resolved_only,https://doi.org/10.1038/s41591-023-02518-x,baseline:cancer-apd1-response:ADCC;baseline:cancer-ici-response-estimates:ACINIC;baseline:cancer-ici-response-estimates:ADCC;baseline:cancer-ici-response:ADCC;current:cancer-apd1-response:ADCC;current:cancer-ici-response-estimates:ACINIC;current:cancer-ici-response-estimates:ADCC;current:cancer-ici-response:ADCC,2026-09-15
DOI:10.1038/s41598-018-31659-0,An integrated genomic analysis of anaplastic meningioma identifies prognostic molecular signatures.,identifier_resolved_only,https://doi.org/10.1038/s41598-018-31659-0,baseline:cancer-tmb:MENINGIOMA;current:cancer-tmb:MENINGIOMA,2026-09-15
DOI:10.1038/s41698-022-00327-y,Comprehensive clinicopathological and genomic profiling of gallbladder cancer reveals actionable targets in half of patients.,identifier_resolved_only,https://doi.org/10.1038/s41698-022-00327-y,baseline:cancer-tmb:GBC;current:cancer-tmb:GBC,2026-09-15
DOI:10.1056/EVIDoa2100070,Tremelimumab plus Durvalumab in Unresectable Hepatocellular Carcinoma.,identifier_resolved_only,https://doi.org/10.1056/EVIDoa2100070,baseline:cancer-ici-response-estimates:LIHC;baseline:cancer-ici-response:LIHC;current:cancer-ici-response-estimates:LIHC;current:cancer-ici-response:LIHC,2026-09-15
