cancer_code,legacy_orr_pct,legacy_reference,claimed_source_result,disposition,supported_evidence,source_locator,reviewed_sources,notes
COAD,5,PMID:33264544,"KEYNOTE-177 reports MSI-H/dMMR CRC, not an observed all-colon response rate.",modeled_value_remains_context,MSI-H/dMMR pembrolizumab ORR 43.8% (67/153),Abstract and response table,https://pubmed.ncbi.nlm.nih.gov/33264544/,MSI prevalence multiplied by subgroup ORR is a model; stage- and selection-dependent prevalence cannot establish the removed all-comer estimate.
READ,2,PMID:33264544,The claimed 2% was calculated from assumed rectal dMMR prevalence and KEYNOTE-177 CRC ORR.,modeled_value_remains_context,"MSI-H/dMMR CRC 43.8% (67/153), not rectal all-comers",Abstract and response table,https://pubmed.ncbi.nlm.nih.gov/33264544/,Neoadjuvant rectal cCR is another setting and endpoint and cannot replace advanced ORR.
UCEC,15,PMID:39847999,KEYNOTE-158 reports molecular cohorts separately; no observed 15% all-comer cohort.,modeled_value_remains_context,48% in MSI-H/dMMR and 7% in non-MSI-H/non-dMMR,"Abstract, Results",https://pubmed.ncbi.nlm.nih.gov/39847999/,The removed rate used a hypothetical 20:80 molecular mixture; keep it labeled as a model.
UCEC_CNL,7,PMID:39847999,"7% belongs to the non-MSI-H/non-dMMR cohort, without TCGA copy-number subclassification.",population_gap_retained,pMMR/MSS response retained under its actual source scope,"Abstract, Results",https://pubmed.ncbi.nlm.nih.gov/39847999/,Neither copy-number-low nor copy-number-high ORR can be recovered from this unsplit cohort.
UCEC_CNH,7,PMID:39847999,"7% belongs to the non-MSI-H/non-dMMR cohort, without TCGA copy-number subclassification.",population_gap_retained,pMMR/MSS response retained under its actual source scope,"Abstract, Results",https://pubmed.ncbi.nlm.nih.gov/39847999/,Neither copy-number-low nor copy-number-high ORR can be recovered from this unsplit cohort.
UCEC_POLE,100,PMID:27159395,Mehnert 2016 describes a selected exceptional responder.,population_gap_retained,Case response; GARNET exploratory POLE 2/5 (both responders dMMR); AcSe pathogenic proofreading-deficient pan-cancer 5/11,Mehnert case; GARNET Table 2; AcSe Results,https://www.jci.org/articles/view/84940;https://pmc.ncbi.nlm.nih.gov/articles/PMC10643997/;https://pmc.ncbi.nlm.nih.gov/articles/PMC9167784/,None establishes 100% representative UCEC_POLE ORR or a cross-cancer rank. Genomic TMB and ICI response remain separate.
LUAD_STK11,8,PMID:29773717,Approximate 8% paraphrases a narrower KRAS/STK11 subgroup; SU2C mixes mono and CTLA-4 combination therapy.,population_gap_retained,SU2C KL 7.4% (4/54); CheckMate-057 KL nivolumab 0/6,"Figure 1A-B; Results, Patient characteristics",https://pmc.ncbi.nlm.nih.gov/articles/PMC6030433/,Corrected invalid contextual denominators 174 and 24. The ontology code includes STK11/KEAP1; results do not establish that entire population.
DIPG,0,PMID:36808285,CheckMate 908 describes only an ependymoma partial response; it does not tabulate a formal ORR for this cohort.,inferred_zero_remains_context,Nivolumab enrolled n=23; original n=45 combined distinct treatment modules,"Results, Efficacy; Table 1",https://pmc.ncbi.nlm.nih.gov/articles/PMC10398811/,Keep the zero inference explicitly typed; do not call an enrolled denominator a verified response-evaluable ORR or combine nivolumab with nivo+ipi.
MBL,0,PMID:36808285,CheckMate 908 describes only an ependymoma partial response; it does not tabulate a formal ORR for this cohort.,inferred_zero_remains_context,Nivolumab enrolled n=15; original n=30 combined distinct treatment modules,"Results, Efficacy; Table 1",https://pmc.ncbi.nlm.nih.gov/articles/PMC10398811/,Keep the zero inference explicitly typed; do not call an enrolled denominator a verified response-evaluable ORR or combine nivolumab with nivo+ipi.
UVM,4,PMID:27533448,"Original mixed PD-1/PD-L1 cohort reports 3.6% (2/56), rounded to 4.",replacement_prospective_PD1_cohort,Rossi 2019 pembrolizumab ORR 11.7% (2/17),"Results, Figure 1; Methods, RECIST 1.1",https://pmc.ncbi.nlm.nih.gov/articles/PMC5767160/;https://pmc.ncbi.nlm.nih.gov/articles/PMC6584707/,"Prospective observational first-line cohort; small n and different setting. Old mixed-agent result remains context, not discarded or relabeled PD-1."
