gene_id,symbol
ENSG00000006047,YBX2
ENSG00000007350,TKTL1
ENSG00000010318,PHF7
ENSG00000042813,ZPBP
ENSG00000046774,MAGEC2
ENSG00000064199,SPA17
ENSG00000068985,PAGE1
ENSG00000077800,FKBP6
ENSG00000077935,SMC1B
ENSG00000092345,DAZL
ENSG00000095627,TDRD1
ENSG00000099399,MAGEB2
ENSG00000101448,EPPIN
ENSG00000102021,LUZP4
ENSG00000103023,PRSS54
ENSG00000104755,ADAM2
ENSG00000104901,DKKL1
ENSG00000104951,IL4I1
ENSG00000105679,GAPDHS
ENSG00000106304,SPAM1
ENSG00000111644,ACRBP
ENSG00000112742,TTK
ENSG00000114487,MORC1
ENSG00000114547,ROPN1B
ENSG00000117461,PIK3R3
ENSG00000118434,SPACA1
ENSG00000121101,TEX14
ENSG00000122304,PRM2
ENSG00000122728,TAF1L
ENSG00000123576,ESX1
ENSG00000124092,CTCFL
ENSG00000124227,ANKRD60
ENSG00000124260,MAGEA10
ENSG00000124467,PSG8
ENSG00000124490,CRISP2
ENSG00000125207,PIWIL1
ENSG00000126467,TSKS
ENSG00000126752,SSX1
ENSG00000126856,PRDM7
ENSG00000126890,CTAG2
ENSG00000128322,IGLL1
ENSG00000129862,VCY1B
ENSG00000129864,VCY
ENSG00000130383,FUT5
ENSG00000131126,TEX101
ENSG00000133863,TEX15
ENSG00000134389,CFHR5
ENSG00000137090,DMRT1
ENSG00000137948,BRDT
ENSG00000139351,SYCP3
ENSG00000140478,GOLGA6D
ENSG00000141096,DPEP3
ENSG00000141316,SPACA3
ENSG00000141371,CHCT1
ENSG00000141437,SLC25A52
ENSG00000142025,DMRTC2
ENSG00000143006,DMRTB1
ENSG00000143194,MAEL
ENSG00000143452,HORMAD1
ENSG00000144962,SPATA16
ENSG00000145309,CABS1
ENSG00000147081,AKAP4
ENSG00000147378,FATE1
ENSG00000147381,MAGEA4
ENSG00000148156,ACTL7B
ENSG00000150628,SPATA4
ENSG00000151846,PABPC3
ENSG00000152430,BOLL
ENSG00000152670,DDX4
ENSG00000153779,TGIF2LX
ENSG00000154040,CABYR
ENSG00000154227,CERS3
ENSG00000155087,ODF1
ENSG00000155495,MAGEC1
ENSG00000156009,MAGEA8
ENSG00000156269,NAA11
ENSG00000158639,PAGE5
ENSG00000159217,IGF2BP1
ENSG00000159289,GOLGA6A
ENSG00000159708,LRRC36
ENSG00000160882,CYP11B1
ENSG00000161609,KASH5
ENSG00000161860,SYCE2
ENSG00000162641,AKNAD1
ENSG00000162771,GARIN4
ENSG00000162779,AXDND1
ENSG00000162843,WDR64
ENSG00000163114,PDHA2
ENSG00000163530,DPPA2
ENSG00000164304,CAGE1
ENSG00000165480,SKA3
ENSG00000165496,RPL10L
ENSG00000165583,SSX5
ENSG00000165584,SSX3
ENSG00000166049,PASD1
ENSG00000166069,TMCO5A
ENSG00000166118,SPATA19
ENSG00000166796,LDHC
ENSG00000167195,GOLGA6C
ENSG00000167523,SPATA33
ENSG00000167531,LALBA
ENSG00000168078,PBK
ENSG00000168757,TSPY2
ENSG00000169059,VCX3A
ENSG00000169800,RBMY1F
ENSG00000170748,RBMXL2
ENSG00000170950,PGK2
ENSG00000170965,PLAC1
ENSG00000171053,PATE1
ENSG00000171209,CSN3
ENSG00000171402,XAGE3
ENSG00000171405,XAGE5
ENSG00000171794,UTF1
ENSG00000172073,TEX37
ENSG00000173908,KRT28
ENSG00000174015,CBY2
ENSG00000174016,TENT5D
ENSG00000174898,CATSPERD
ENSG00000175646,PRM1
ENSG00000175820,CCDC168
ENSG00000176256,HMGB4
ENSG00000176566,DCAF4L2
ENSG00000176635,HORMAD2
ENSG00000176774,MAGEB18
ENSG00000176988,FMR1NB
ENSG00000177673,TEX44
ENSG00000177689,MAGEB10
ENSG00000177947,ODF3
ENSG00000177992,SPATA31E1
ENSG00000178021,TSPYL6
ENSG00000178287,SPAG11A
ENSG00000179046,TRIML2
ENSG00000180336,MEIOC
ENSG00000181433,SAGE1
ENSG00000182261,NLRP10
ENSG00000182308,DCAF4L1
ENSG00000182459,TEX19
ENSG00000182583,VCX
ENSG00000183668,PSG9
ENSG00000184033,CTAG1B
ENSG00000184302,SIX6
ENSG00000184361,SPATA32
ENSG00000184507,NUTM1
ENSG00000184650,ODF4
ENSG00000185264,TEX33
ENSG00000185686,PRAME
ENSG00000185863,TMEM210
ENSG00000186075,ZPBP2
ENSG00000186451,SPATA12
ENSG00000186638,KIF24
ENSG00000187003,ACTL7A
ENSG00000187191,DAZ3
ENSG00000187772,LIN28B
ENSG00000188120,DAZ1
ENSG00000188334,BSPH1
ENSG00000188408,MAGEB5
ENSG00000188425,NANOS2
ENSG00000188782,CATSPER4
ENSG00000189023,MAGEB16
ENSG00000189064,GAGE2A
ENSG00000189090,FAM25G
ENSG00000189326,SPANXN4
ENSG00000196335,STK31
ENSG00000196406,SPANXD
ENSG00000196604,POTEF
