gene_id,hpa_gene_name,cancer,high,medium,low,not_detected,total,detected,medium_high,prevalence_detected,prevalence_medium_high,measurement_status,rna_codes,mapping_status,note,rna_samples,rna_positive_samples,rna_sum_ptpm,rna_available_types,rna_required_types,comparison_status,rna_mean_ptpm,rna_prevalence,cohort,threshold_ptpm,cohorts_paired,symbol
ENSG00000006047,YBX2,breast cancer,0,0,0,11,11,0,0,0.0,0.0,measured,BRCA,single,Anatomical correspondence; histology and patient composition may differ between unpaired cohorts.,1022.0,665.0,2781.1594,1,1,comparable,2.721290998043053,0.6506849315068494,TCGA,1,False,YBX2
ENSG00000006047,YBX2,carcinoid,0,0,0,4,4,0,0,0.0,0.0,measured,,unmatched,No corresponding HPA cancer RNA cohort; missing is not negative.,,,,0,0,unmatched,,,TCGA,1,False,YBX2
ENSG00000006047,YBX2,cervical cancer,0,0,0,12,12,0,0,0.0,0.0,measured,CESC,single,Anatomical correspondence; histology and patient composition may differ between unpaired cohorts.,283.0,216.0,1903.7601,1,1,comparable,6.7270674911660775,0.7632508833922261,TCGA,1,False,YBX2
ENSG00000006047,YBX2,colorectal cancer,0,0,0,12,12,0,0,0.0,0.0,measured,COAD|READ,pooled,Require all listed RNA types; pool counts and pTPM sums by measured samples. Histology composition may differ from IHC.,342.0,297.0,1315.8220000000001,2,2,comparable,3.847432748538012,0.868421052631579,TCGA,1,False,YBX2
ENSG00000006047,YBX2,endometrial cancer,0,0,0,12,12,0,0,0.0,0.0,measured,UCEC,single,Anatomical correspondence; histology and patient composition may differ between unpaired cohorts.,176.0,92.0,630.2627,1,1,comparable,3.5810380681818184,0.5227272727272727,TCGA,1,False,YBX2
ENSG00000006047,YBX2,glioma,0,0,0,12,12,0,0,0.0,0.0,measured,GBM,scope_mismatch,IHC glioma is broader than GBM-only RNA; do not compute a matched-group comparison.,,,,0,1,scope_mismatch,,,TCGA,1,False,YBX2
ENSG00000006047,YBX2,head and neck cancer,0,0,0,4,4,0,0,0.0,0.0,measured,HNSC,single,Anatomical correspondence; histology and patient composition may differ between unpaired cohorts.,492.0,130.0,564.5067,1,1,comparable,1.1473713414634146,0.26422764227642276,TCGA,1,False,YBX2
ENSG00000006047,YBX2,liver cancer,0,0,0,12,12,0,0,0.0,0.0,measured,LIHC,single,Anatomical correspondence; histology and patient composition may differ between unpaired cohorts.,362.0,110.0,501.9071,1,1,comparable,1.3864837016574587,0.30386740331491713,TCGA,1,False,YBX2
ENSG00000006047,YBX2,lung cancer,0,0,0,11,11,0,0,0.0,0.0,measured,LUAD|LUSC,pooled,Require all listed RNA types; pool counts and pTPM sums by measured samples. Histology composition may differ from IHC.,986.0,315.0,1247.3492,2,2,comparable,1.2650600405679515,0.31947261663286003,TCGA,1,False,YBX2
ENSG00000006047,YBX2,lymphoma,0,0,0,11,11,0,0,0.0,0.0,measured,,unmatched,No corresponding HPA cancer RNA cohort; missing is not negative.,,,,0,0,unmatched,,,TCGA,1,False,YBX2
